ID, Pregunta, Respuesta correcta, Respuesta incorrecta 1, Respuesta incorrecta 2, Respuesta incorrecta 3, Puntuacion
25, ¿Que es el phishing?, Intento de enganar a personas para obtener informacion confidencial, Tecnica de edicion de fotos, Metodo de compresion de archivos, Tipo de virus informatico, 2
26, ¿Cual es el proposito de un programa de copia de seguridad?, Resguardar datos para su recuperacion en caso de perdida, Mejorar la velocidad de la conexion, Organizar carpetas, Crear documentos de texto, 1
27, ¿Que significa HTML5 en desarrollo web?, Quinta version de HyperText Markup Language, High-Level Technology and Multimedia Language, Human Technology Modeling Language 5, HyperTransfer and Multimedia Language 5, 1
28, ¿Cual es el proposito de un SSD en una computadora?, Mejorar la velocidad de lectura/escritura de datos, Aumentar la cantidad de RAM, Reproducir videos en alta definicion, Almacenar grandes cantidades de musica, 1
29, ¿Que es un router inalambrico?, Dispositivo que permite conexion a internet sin cables, Impresora que funciona sin tinta, Altavoz Bluetooth, Camara de seguridad, 1
30, ¿Cual es el significado de la sigla URL?, Uniform Resource Locator, Universal Resource Language, User Recognition Link, Unilateral Resource Locator, 1
31, ¿Que es un archivo GIF?, Formato de imagen animada, Documento de texto, Archivo de audio, Archivo comprimido, 1
32, ¿En que consiste la computacion en la nube?, Acceso a servicios y almacenamiento a traves de internet, Uso de computadoras sin conexion a la red, Desarrollo de programas sin codigo, Creacion de hardware personalizado, 2
33, ¿Cual es el proposito de un programa de edicion de texto?, Crear y modificar documentos de texto, Reproducir videos, Mejorar la velocidad de la conexion, Escanear virus, 1
34, ¿Que es un algoritmo?, Conjunto de pasos para realizar una tarea, Tipo de virus informatico, Archivo de audio, Protocolo de red, 1
35, ¿En que consiste la realidad virtual?, Entorno simulado por computadora, Proceso de mejorar la velocidad de la computadora, Metodo de compresion de archivos, Tipo de virus informatico, 2
36, ¿Que es un programa de codigo ejecutable?, Software que puede ser ejecutado por la computadora, Archivo de imagen, Archivo de audio, Documento de texto, 1
37, ¿Cual es la funcion principal de un sistema de archivos?, Organizar y almacenar datos en dispositivos de almacenamiento, Reproducir musica, Crear presentaciones, Navegar por internet, 1
38, ¿Que es el Bluetooth?, Tecnologia de comunicacion inalambrica, Metodo de compresion de archivos, Software antivirus, Sistema operativo, 1
39, ¿Cual es el proposito de un programa de diseno grafico?, Crear y editar graficos y elementos visuales, Reproducir videos, Escanear virus, Mejorar la velocidad de la conexion, 1
40, ¿Que significa HTTP en una URL?, Hypertext Transfer Protocol, HyperText Markup Language, High-Level Technology and Multimedia Language, Human Technology Modeling Language, 1
41, ¿Cual es la funcion principal de un programa de hoja de calculo?, Organizar datos en forma de tablas y realizar calculos, Reproducir musica, Crear presentaciones, Navegar por internet, 1
42, ¿Que es un servidor de correo electronico?, Computadora que gestiona el envio y recepcion de correos, Dispositivo de almacenamiento, Programa de diseno grafico, Herramienta de desarrollo, 2
43, ¿Cual es la diferencia entre hardware y software?, Hardware son componentes fisicos, Software son programas y aplicaciones, Hardware y software son lo mismo, Hardware es software malicioso, 1
44, ¿Que es un navegador de internet?, Aplicacion para acceder a paginas web, Reproductor de musica, Sistema operativo, Software de seguridad, 1
45, ¿Cual es el proposito de un programa de compresion de archivos?, Reducir el tamano de archivos para ahorrar espacio, Aumentar la velocidad de la conexion, Crear presentaciones, Escanear virus, 1
46, ¿Que es un programa de reconocimiento de voz?, Software que convierte voz en texto o comandos, Reproductor de musica, Programa de edicion de imagenes, Juego en linea, 2
47, ¿Que es un dominio de internet?, Identificador unico en la red, Archivo de audio, Documento de texto, Imagen, 1
48, ¿Cual es el proposito de un programa de edicion de imagenes?, Modificar y mejorar imagenes digitales, Reproducir videos, Escanear virus, Mejorar la velocidad de la conexion, 1
49, ¿Que es un malware?, Software malicioso, Programa de seguridad, Dispositivo de almacenamiento, Herramienta de desarrollo, 1
50, ¿Cual es el sistema de archivos mas comun en sistemas operativos Windows?, NTFS, FAT32, ext4, HFS+, 1
51, ¿Que es un programa de mensajeria instantanea?, Aplicacion para enviar mensajes en tiempo real, Reproductor de musica, Programa de edicion de imagenes, Juego en linea, 1
52, ¿Cual es el proposito de un programa de reconocimiento facial?, Identificar personas a traves de imagenes, Mejorar la velocidad de la computadora, Crear presentaciones, Navegar por internet, 2
53, ¿Que es un proxy?, Intermediario entre el usuario y la red, Archivo de audio, Documento de texto, Imagen, 1
54, ¿Cual es el proposito de un programa de optimizacion del sistema?, Mejorar el rendimiento de la computadora, Reproducir musica, Crear presentaciones, Navegar por internet, 1
55, ¿Que significa HTML en desarrollo web?, HyperText Markup Language, High-Level Programming Language, Human-Technology Modeling Language, HyperTransfer and Multimedia Language, 1
56, ¿Cual es el proposito de un programa de cifrado?, Proteger la informacion mediante codificacion, Aumentar la velocidad de la conexion, Crear presentaciones, Escanear virus, 2
57, ¿Que es una direccion IP?, Identificador numerico de un dispositivo en una red, Archivo de audio, Documento de texto, Imagen, 1
58, ¿Cual es el proposito de un programa de gestion de contrasenas?, Almacenar y organizar contrasenas, Reproducir videos, Escanear virus, Mejorar la velocidad de la conexion, 1
59, ¿Que es un programa de reconocimiento de escritura a mano?, Software que convierte escritura a mano en texto, Reproductor de musica, Programa de diseno grafico, Juego en linea, 2
60, ¿Cual es el proposito de un programa de monitoreo del sistema?, Supervisar el rendimiento de la computadora, Reproducir musica, Crear presentaciones, Navegar por internet, 1
61, ¿Que es un programa de edicion de video?, Software para modificar y mejorar videos, Reproductor de musica, Programa de diseno grafico, Juego en linea, 1
62, ¿Cual es el proposito de un programa de reconocimiento de musica?, Identificar canciones a partir de grabaciones, Mejorar la velocidad de la conexion, Crear presentaciones, Navegar por internet, 2
63, ¿Que es un disco duro externo?, Dispositivo de almacenamiento que se conecta a traves de USB, Reproductor de musica, Programa de diseno grafico, Juego en linea, 1
64, ¿Cual es el proposito de un programa de control parental?, Limitar el acceso a contenido inapropiado, Reproducir musica, Crear presentaciones, Navegar por internet, 1
65, ¿Que es un programa de gestion de proyectos?, Software para planificar y organizar tareas, Reproductor de musica, Programa de diseno grafico, Juego en linea, 1
66, ¿Cual es el proposito de un programa de reconocimiento optico de caracteres (OCR)?, Convertir texto impreso a formato digital, Mejorar la velocidad de la conexion, Crear presentaciones, Navegar por internet, 2
67, ¿Que es un programa de virtualizacion?, Software que permite ejecutar multiples sistemas operativos en una misma maquina, Reproductor de musica, Programa de diseno grafico, Juego en linea, 2
68, ¿Cual es el proposito de un programa de copia de seguridad en la nube?, Resguardar datos en servidores remotos, Reproducir musica, Crear presentaciones, Navegar por internet, 2
69, ¿Que es un programa de dibujo tecnico?, Software para crear diagramas y planos, Reproductor de musica, Programa de diseno grafico, Juego en linea, 1
70, ¿Cual es el proposito de un programa de reconocimiento de objetos?, Identificar objetos en imagenes o videos, Mejorar la velocidad de la conexion, Crear presentaciones, Navegar por internet, 2
